"card-compact__title","card-compact__description","card-compact-review href","wowscore-pill","card-compact-review__text","media-slider__pages","media-slider__image src","media-slider__image src 2","media-slider__image src 3","badge","tile-button href","tile-button__title","div","tile-button href 2","tile-button__title 2","div 2","google-ad","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"SEAT Arona","Lively Ibiza SUV for the city","https://www.carwow.de/seat/arona","8/10","SEAT Arona review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=arona&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=arona&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=arona&filter%5Bsize%5D=medium","Average savings €5,450","https://angebote.carwow.de/buying/car-configurator/trim?make=seat&model=arona","New SEAT Arona offers","From 19,436 €","https://www.carwow.de/seat/arona/leasing","SEAT Arona leasing offers","Leasing from 138 € / month","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-fdb9fad2342c97f9cb06a9f0966eb258"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-fdb9fad2342c97f9cb06a9f0966eb258"", true);
  });",".google-ad#div-gpt-fdb9fad2342c97f9cb06a9f0966eb258 {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-fdb9fad2342c97f9cb06a9f0966eb258 {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-fdb9fad2342c97f9cb06a9f0966eb258 {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-fdb9fad2342c97f9cb06a9f0966eb258 {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-fdb9fad2342c97f9cb06a9f0966eb258 {
      min-height: 270px;
    }
  }"
"Renault Clio","Spritziger Viertürer mit französischem Chic","https://www.carwow.de/renault/clio","7/10","Renault Clio Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=renault&filter%5Bmodel_review_slug%5D=clio&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=renault&filter%5Bmodel_review_slug%5D=clio&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=renault&filter%5Bmodel_review_slug%5D=clio&filter%5Bsize%5D=medium","Mittl. Ersparnis 3.588 €","https://angebote.carwow.de/buying/car-configurator/trim?make=renault&model=clio","Neue Renault Clio Angebote","Ab 17.631 €","https://www.carwow.de/renault/clio/leasing","Renault Clio Leasing-Angebote","Leasen ab 138 € / Monat","","","",""
"Jeep Avenger","","https://www.carwow.de/jeep/avenger","8/10","Jeep Avenger Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=jeep&filter%5Bmodel_review_slug%5D=avenger-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=jeep&filter%5Bmodel_review_slug%5D=avenger-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=jeep&filter%5Bmodel_review_slug%5D=avenger-2022&filter%5Bsize%5D=medium","Mittl. Ersparnis 5.548 €","https://angebote.carwow.de/buying/car-configurator/trim?make=jeep&model=avenger-2022","Neue Jeep Avenger Angebote","Ab 22.793 €","https://www.carwow.de/jeep/avenger/leasing","Jeep Avenger Leasing-Angebote","Leasen ab 139 € / Monat","","","",""
"Hyundai i10","Dynamischer Kleinwagen mit sportlicher Optik","https://www.carwow.de/hyundai/i10","8/10","Hyundai i10 Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=hyundai&filter%5Bmodel_review_slug%5D=i10-2019&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=hyundai&filter%5Bmodel_review_slug%5D=i10-2019&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=hyundai&filter%5Bmodel_review_slug%5D=i10-2019&filter%5Bsize%5D=medium","Mittl. Ersparnis 2.862 €","https://angebote.carwow.de/buying/car-configurator/trim?make=hyundai&model=i10-2019","Neue Hyundai i10 Angebote","Ab 16.855 €","https://www.carwow.de/hyundai/i10/leasing","Hyundai i10 Leasing-Angebote","Leasen ab 141 € / Monat","","","",""
"Peugeot 2008","Robuster SUV mit kompakten Abmessungen","https://www.carwow.de/peugeot/2008","7/10","Peugeot 2008 Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=peugeot&filter%5Bmodel_review_slug%5D=2008&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=peugeot&filter%5Bmodel_review_slug%5D=2008&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=peugeot&filter%5Bmodel_review_slug%5D=2008&filter%5Bsize%5D=medium","Mittl. Ersparnis 5.972 €","https://angebote.carwow.de/buying/car-configurator/trim?make=peugeot&model=2008","Neue Peugeot 2008 Angebote","Ab 23.656 €","https://www.carwow.de/peugeot/2008/leasing","Peugeot 2008 Leasing-Angebote","Leasen ab 147 € / Monat","","","",""
"Skoda Kamiq","Modernes City-SUV","https://www.carwow.de/skoda/kamiq","8/10","Skoda Kamiq Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=kamiq&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=kamiq&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=kamiq&filter%5Bsize%5D=medium","Mittl. Ersparnis 7.212 €","https://angebote.carwow.de/buying/car-configurator/trim?make=skoda&model=kamiq","Neue Skoda Kamiq Angebote","Ab 20.667 €","https://www.carwow.de/skoda/kamiq/leasing","Skoda Kamiq Leasing-Angebote","Leasen ab 152 € / Monat","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-ddd7b0f692e957cfc090e33542f1ef5e"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-ddd7b0f692e957cfc090e33542f1ef5e"", true);
  });",".google-ad#div-gpt-ddd7b0f692e957cfc090e33542f1ef5e {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-ddd7b0f692e957cfc090e33542f1ef5e {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-ddd7b0f692e957cfc090e33542f1ef5e {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-ddd7b0f692e957cfc090e33542f1ef5e {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-ddd7b0f692e957cfc090e33542f1ef5e {
      min-height: 270px;
    }
  }"
"Dacia Sandero Stepway","Der Allrounder im Offroad-Kleid","https://www.carwow.de/dacia/sandero-stepway","9/10","Dacia Sandero Stepway Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=sandero-stepway-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=sandero-stepway-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=sandero-stepway-2020&filter%5Bsize%5D=medium","","https://angebote.carwow.de/buying/car-configurator/trim?make=dacia&model=sandero-stepway-2020","Neue Dacia Sandero Stepway Angebote","Ab 15.680 €","https://www.carwow.de/dacia/sandero-stepway/leasing","Dacia Sandero Stepway Leasing-Angebote","Leasen ab 153 € / Monat","","","",""
"Peugeot 208","Wirtschaftlicher City-Flitzer","https://www.carwow.de/peugeot/208","7/10","Peugeot 208 Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=peugeot&filter%5Bmodel_review_slug%5D=208&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=peugeot&filter%5Bmodel_review_slug%5D=208&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=peugeot&filter%5Bmodel_review_slug%5D=208&filter%5Bsize%5D=medium","Mittl. Ersparnis 5.025 €","https://angebote.carwow.de/buying/car-configurator/trim?make=peugeot&model=208","Neue Peugeot 208 Angebote","Ab 20.204 €","https://www.carwow.de/peugeot/208/leasing","Peugeot 208 Leasing-Angebote","Leasen ab 153 € / Monat","","","",""
"Volkswagen Taigo","Sportlicher 5-Sitzer mit Tango-Flair","https://www.carwow.de/volkswagen/taigo","7/10","Volkswagen Taigo Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=taigo-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=taigo-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=taigo-2021&filter%5Bsize%5D=medium","Mittl. Ersparnis 6.356 €","https://angebote.carwow.de/buying/car-configurator/trim?make=volkswagen&model=taigo-2021","Neue Volkswagen Taigo Angebote","Ab 20.397 €","https://www.carwow.de/volkswagen/taigo/leasing","Volkswagen Taigo Leasing-Angebote","Leasen ab 155 € / Monat","","","",""
"MG MG3 Hybrid+","","https://www.carwow.de/mg/mg-3","7/10","MG MG3 Hybrid+ Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=mg&filter%5Bmodel_review_slug%5D=mg-3-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=mg&filter%5Bmodel_review_slug%5D=mg-3-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=mg&filter%5Bmodel_review_slug%5D=mg-3-2024&filter%5Bsize%5D=medium","Mittl. Ersparnis 2.109 €","https://angebote.carwow.de/buying/car-configurator/trim?make=mg&model=mg-3-2024","Neue MG MG3 Hybrid+ Angebote","Ab 17.711 €","https://www.carwow.de/mg/mg-3/leasing","MG MG3 Hybrid+ Leasing-Angebote","Leasen ab 164 € / Monat","","","",""
"Alfa Romeo Junior Ibrida","","https://www.carwow.de/alfa-romeo/junior-ibrida","7/10","Alfa Romeo Junior Ibrida Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=alfa-romeo&filter%5Bmodel_review_slug%5D=junior-ibrida-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=alfa-romeo&filter%5Bmodel_review_slug%5D=junior-ibrida-2024&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=alfa-romeo&filter%5Bmodel_review_slug%5D=junior-ibrida-2024&filter%5Bsize%5D=medium","Mittl. Ersparnis 2.437 €","https://angebote.carwow.de/buying/car-configurator/trim?make=alfa-romeo&model=junior-ibrida-2024","Neue Alfa Romeo Junior Ibrida Angebote","Ab 28.699 €","https://www.carwow.de/alfa-romeo/junior-ibrida/leasing","Alfa Romeo Junior Ibrida Leasing-Angebote","Leasen ab 169 € / Monat","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-1d2671eadd2c8757419bf5d40d46c5cc"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-1d2671eadd2c8757419bf5d40d46c5cc"", true);
  });",".google-ad#div-gpt-1d2671eadd2c8757419bf5d40d46c5cc {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-1d2671eadd2c8757419bf5d40d46c5cc {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-1d2671eadd2c8757419bf5d40d46c5cc {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-1d2671eadd2c8757419bf5d40d46c5cc {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-1d2671eadd2c8757419bf5d40d46c5cc {
      min-height: 270px;
    }
  }"
"Volkswagen Polo","Hochwertiger Kleinwagen bietet viel Komfort","https://www.carwow.de/volkswagen/polo","8/10","Volkswagen Polo Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=polo&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=polo&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=polo&filter%5Bsize%5D=medium","Mittl. Ersparnis 5.488 €","https://angebote.carwow.de/buying/car-configurator/trim?make=volkswagen&model=polo","Neue Volkswagen Polo Angebote","Ab 17.852 €","https://www.carwow.de/volkswagen/polo/leasing","Volkswagen Polo Leasing-Angebote","Leasen ab 169 € / Monat","","","",""
